date,longitude,latitude,rainfall_mm
2024-06-30,76.125,14.125,2.02
2024-06-30,76.375,14.125,1.58
2024-06-30,76.625,14.125,4.36
2024-06-30,76.875,14.125,16.39
2024-06-30,77.125,14.125,11.51
2024-06-30,77.375,14.125,31.6
2024-06-30,77.625,14.125,41.11
2024-06-30,77.875,14.125,53.48
2024-06-30,78.125,14.125,30.38
2024-06-30,78.375,14.125,43.57
2024-06-30,78.625,14.125,86.96
2024-06-30,78.875,14.125,86.61
2024-06-30,79.125,14.125,1.46
2024-06-30,79.375,14.125,8.12
2024-06-30,79.625,14.125,12.89
2024-06-30,79.875,14.125,16.3
2024-06-30,80.125,14.125,18.44
2024-06-30,74.375,14.375,24.92
2024-06-30,74.625,14.375,23.39
2024-06-30,74.875,14.375,2.69
2024-06-30,75.125,14.375,0.0
2024-06-30,75.375,14.375,0.0
2024-06-30,75.625,14.375,0.0
2024-06-30,75.875,14.375,3.08
2024-06-30,76.125,14.375,0.2
2024-06-30,76.375,14.375,0.0
2024-06-30,76.625,14.375,1.21
2024-06-30,76.875,14.375,2.96
2024-06-30,77.125,14.375,2.01
2024-06-30,77.375,14.375,4.31
2024-06-30,77.625,14.375,13.48
2024-06-30,77.875,14.375,48.42
2024-06-30,78.125,14.375,23.09
2024-06-30,78.375,14.375,61.9
2024-06-30,78.625,14.375,83.3
2024-06-30,78.875,14.375,42.36
2024-06-30,79.125,14.375,1.33
2024-06-30,79.375,14.375,25.67
2024-06-30,79.625,14.375,16.69
2024-06-30,79.875,14.375,1.9
2024-06-30,80.125,14.375,5.14
2024-06-30,74.375,14.625,9.83
2024-06-30,74.625,14.625,12.15
2024-06-30,74.875,14.625,0.14
2024-06-30,75.125,14.625,0.0
2024-06-30,75.375,14.625,0.0
2024-06-30,75.625,14.625,0.44
2024-06-30,75.875,14.625,1.8
2024-06-30,76.125,14.625,1.37
2024-06-30,76.375,14.625,0.62
2024-06-30,76.625,14.625,4.51
2024-06-30,76.875,14.625,9.12
2024-06-30,77.125,14.625,36.95
2024-06-30,77.375,14.625,8.84
2024-06-30,77.625,14.625,8.97
2024-06-30,77.875,14.625,16.08
2024-06-30,78.125,14.625,14.24
2024-06-30,78.375,14.625,42.95
2024-06-30,78.625,14.625,21.04
2024-06-30,78.875,14.625,19.9
2024-06-30,79.125,14.625,18.18
2024-06-30,79.375,14.625,14.44
2024-06-30,79.625,14.625,2.81
2024-06-30,79.875,14.625,0.7
2024-06-30,80.125,14.625,0.59
2024-06-30,74.375,14.875,7.96
2024-06-30,74.625,14.875,9.09
2024-06-30,74.875,14.875,6.14
2024-06-30,75.125,14.875,0.0
2024-06-30,75.375,14.875,0.0
2024-06-30,75.625,14.875,0.0
2024-06-30,75.875,14.875,0.3
2024-06-30,76.125,14.875,0.0
2024-06-30,76.375,14.875,0.4
2024-06-30,76.625,14.875,3.95
2024-06-30,76.875,14.875,18.93
2024-06-30,77.125,14.875,37.36
2024-06-30,77.375,14.875,14.42
2024-06-30,77.625,14.875,61.46
2024-06-30,77.875,14.875,33.17
2024-06-30,78.125,14.875,5.74
2024-06-30,78.375,14.875,5.07
2024-06-30,78.625,14.875,15.51
2024-06-30,78.875,14.875,10.07
2024-06-30,79.125,14.875,10.07
2024-06-30,79.375,14.875,5.24
2024-06-30,79.625,14.875,0.71
2024-06-30,79.875,14.875,0.17
2024-06-30,80.125,14.875,1.57
2024-06-30,74.125,15.125,10.4
2024-06-30,74.375,15.125,10.46
2024-06-30,74.625,15.125,13.32
2024-06-30,74.875,15.125,6.39
2024-06-30,75.125,15.125,0.0
2024-06-30,75.375,15.125,0.0
2024-06-30,75.625,15.125,0.29
2024-06-30,75.875,15.125,0.89
2024-06-30,76.125,15.125,0.62
2024-06-30,76.375,15.125,0.0
2024-06-30,76.625,15.125,0.43
2024-06-30,76.875,15.125,14.28
2024-06-30,77.125,15.125,21.01
2024-06-30,77.375,15.125,15.74
2024-06-30,77.625,15.125,36.14
2024-06-30,77.875,15.125,21.89
2024-06-30,78.125,15.125,0.0
2024-06-30,78.375,15.125,5.0
2024-06-30,78.625,15.125,11.39
2024-06-30,78.875,15.125,1.13
